organization;creators;title;directors;premiere
Bühnen Köln;Gaetano Donizetti;Lucia di Lammermoor;Eun Sun Kim / Eva-Maria Höckmayr;2016
Bühnen Köln;Georg Büchner;Leonce und Lena;Jan Bosse;2009
Bühnen Köln;Georg Friedrich Händel;Giulio Cesare in Edgitto;Christopher Moulds / Karoline Gruber;2007
Bühnen Köln;Gerhart Hauptmann;Und Pippa tanzt!;Moritz Sostmann;2015
Bühnen Köln;Giacomo Puccini;La Bohème;Francesco Angelico / Michael Hampe;2015
Bühnen Köln;Gioachino Rossini;Der Barbier von Sevilla;Enrico Delamboye / Christian Schuller;2007
Bühnen Köln;Gioachino Rossini;L’Italiana in Algeri;Enrico Delamboye / Grischa Asagaroff;2007
Bühnen Köln;Giuseppe Verdi;Aida;Will Humburg / Johannes Erath;2011
Bühnen Köln;Giuseppe Verdi;L’incoronazione di Poppea;Konrad Junghänel / Dietrich Hilsdorf;2010
Bühnen Köln;Giuseppe Verdi;Otello;Will Humburg / Johannes Schaaf;2014
Bühnen Köln;Giuseppe Verdi;Un ballo in maschera;Enrico Dovico / José Cura;2008
Bühnen Köln;Gotthold Ephraim Lessing / Henry Bean;Nathan der Weise / The Believer;Dusan David Parizek;2006
Bühnen Köln;Guy Weizmann / Roni Haver;60 Years;Guy Weizmann, Roni Haver;2009
Bühnen Köln;Hans Christian Andersen / Schorsch Kamerun;Des Kaisers neue Kleider;Schorsch Kamerun;2010
Bühnen Köln;Harold Pinter;Die Geburtstagsfeier;Marta Gil Polo;2006
Bühnen Köln;Hector Berlioz;Benvenuto Cellini;François-Xavier Roth / Carlus Pedrissa;2016
Bühnen Köln;Hector Berlioz;La Damnation de Faust;Markus Poschner;2014
Bühnen Köln;Heinrich von Kleist;Das Käthchen von Heilbronn;Stefan Bachmann;2014
Bühnen Köln;Henrik Ibsen;Hedda Gabler;Karin Neuhäuser;2014
Bühnen Köln;Henrik Ibsen / Ostermeier;Brand;Armin Petras;2007
Bühnen Köln;Henrik Ibsen;Peer Gynt;Karin Beier;2008
Bühnen Köln;Howard Arman / La Fura dels Baus;Das Lied der Frauen vom Fluss;Carlus Pedrissa;2015
Bühnen Köln;Howard Arman / La Fura dels Baus;Das Lied der Frauen vom Fluss;Howard Arman / Carlus Pedrissa;2016
Bühnen Köln;Ibrahim Amir;Stirb, bevor du stirbst;Rafael Sanchez;2015
Bühnen Köln;Igor Strawinsky;Die Nachigall;Beka Savic;2015
Bühnen Köln;Iwan Alexandrowitsch Gontscharow;Oblomow;Alvis Hermanis;2011
Bühnen Köln;Jack Kerouac;Beat Generation;Jürgen Kruse;2007
Bühnen Köln;Jacques Offenbach;Hoffmanns Erzählungen;Claude Schnitzler / Stefan Herheim;2015
Bühnen Köln;Jens Albinus;Helens Fahrt in den Himmel;Jens Albinus;2014
Bühnen Köln;Jens Albinus;Umbettung;Jens Albinus;2016
Bühnen Köln;Jerry Hermanis;Affäre mit Geistern;Alvis Hermanis;2009
Bühnen Köln;Jerry Hermanis;Kölner Affäre;Alvis Hermanis;2008
Bühnen Köln;Johann Adolf Hasse;Leucippo;Gianluca Capuano / Tatjana Gürbaca;2014
Bühnen Köln;Johann Strauss (Sohn) ;Die Fledermaus;Gerrit Prießnitz;2013
Bühnen Köln;Johann Wolfgang von Goethe;Faust I;Laurent Chétouane;2008
Bühnen Köln;Juli Zeh / Bernhard Studlar;Spieltrieb;Jette Steckel;2009
Bühnen Köln;Kalle Kubik;Janz schön jeheim;Kalle Kubik;2016
Bühnen Köln;Karlheinz Stockhausen;Sonntag aus Licht;Katharina Thalbach / Peter Rundel / Carlus Padrissa;2011
Bühnen Köln;Kurt Weill;Aufstieg und Fall der Stadt Mahagonny;Lothar Koenigs;2011
Bühnen Köln;Lars Norén;3.31.93;Moritz Sostmann;2015
Bühnen Köln;Lars von Trier;Dogville;Bastien Kraft;2014
Bühnen Köln;Leoš Janáček;Jenůfa;Markus Stenz / Katharina Thalbach;2007
Bühnen Köln;Leoš Janáček;Katja Kabanova;Markus Stenz / Robert Carsen;2008
Bühnen Köln;Leoš Janáček;Tagebuch eines Verschollenen;Béatrice Lachaussée;2015
Bühnen Köln;Liza Lim;Tree of codes;Clement Power / Massimo Furlan;2016
Bühnen Köln;Luigi Cherubini;Ali Baba und die 40 Räuber;Siro Battaglin / EikeEcker;2009
Bühnen Köln;Luigi Dallapiccola / Bernd Alois Zimmermann;Il Prigioniero / Ekkesiastische Aktion;Gabriel Feltz / Markus Bothe;2015
Bühnen Köln;Mario Salazar;Die Welt mein Herz;Rafael Sanchez;2014
Bühnen Köln;Marius Felix Lange;Schneewittchen;Elena Tzavara;2011
Bühnen Köln;Maurice Ravel;L’enfant et les sortilèges;Gisbert Jäkel / Tomo Sugao;2011
Bühnen Köln;Maxim Biller;Im Kopf von Bruno Schulz;Christina Paulhofer;2015
Bühnen Köln;Michael Frayn;Der nackte Wahnsinn;Rafael Sanchez;2013
Bühnen Köln;Michael Langemann;Musik;Dietrich W. Hilsdorf / Walter Kobéra / Helene Hegemann;2013
Bühnen Köln;Molière;Der Menschenfeind;Karin Henkel;2008
Bühnen Köln;Molière;Der Menschenfeind;Moritz Sostmann;2014
Bühnen Köln;Navid Kermani;Vier Menschen;Navid Kermani;2007
Bühnen Köln;Nikolai Gogol / András Vinnai;Der Revisor;Viktor Bodó;2011
Bühnen Köln;Nuran David Calis;Die Lücke;Nuran David Calis;2014
Bühnen Köln;Nuran David Calis;Glaubenskämpfer;Nuran David Calis;2016
Bühnen Köln;Nuran David Calis;Stunde Null der Gastarbeit;Nuran David Calis;2008
Bühnen Köln;Ödön von Horváth;Geschichten aus dem Wiener Wald;Albrecht Hirche;2006
Bühnen Köln;Peter Lund;Hexe Hillary geht in die Oper;Eicke Ecker;2013
Bühnen Köln;Peter Tschaikowski;Jolanthe;Dimitrij Kitajenko;2014
Bühnen Köln;Philip Glass;Les Enfants terribles;Rainer Mühlbach / Elena Tzavara;2014
Bühnen Köln;Pjotr Iljitsch Tschaikowski;Eugen Onegin;Markus Poschner;2013
Bühnen Köln;Rainald Goetz;Katarakt;Gabriele Jakobi;2006
Bühnen Köln;Richard Strauss;Arabella;Stefan Soltesz / Renaud Doucet;2015
Bühnen Köln;Richard Strauss;Capriccio;Markus Stenz / Christian von Götz;2009
Bühnen Köln;Richard Strauss;Elektra;Markus Stenz / Gabriele Roth;2010
Bühnen Köln;Richard Wagner;Die Feen;Jens Bingert / Christian Schuller;2007
Bühnen Köln;Richard Wagner;Lohengrin;Markus Stenz / Klaus Maria Brandauer;2006
Bühnen Köln;Richard Wagner;Tannhäuser;Markus Stenz / Jasmin Solfaghari;2008
